headline,print_page
C.I.A. Takes On Bigger and Riskier Role on Front Lines.,True
Bomb Takes Heavy Toll at Pakistan Sports Event.,True
Standoff in Iran Deepens With New Show of Force.,False
Different Taliban Groups Claim Role in Afghanistan Bombing.,False
Fragile Calm Holds in Darfur After Years of Death.,True
"In Russia, a New Year and a New Price for Vodka.",False
Many Karzai Afghan Cabinet Choices Are Rejected.,False
Cartoonist in Denmark Calls Attack ‘Really Close’.,False
U.S. Sees an Opportunity to Press Iran on Nuclear Fuel.,True
Yemen’s Chaos Aids the Evolution of a Qaeda Cell.,True
"For Shanghai Fair, Famous Fund-Raiser Delivers.",True
"Threats Led to Embassy Closings in Yemen, Officials Say.",True
Iraq Says Deal Is Near on the Last of 5 Hostages.,False
Americans’ Role Seen in Uganda Anti-Gay Push.,True
Hazaras Hustle to Head of Class in Afghanistan.,False
Iranian Filmmakers Keep Focus on the Turmoil.,False
"4 Afghan War Veterans Look Back, and Ahead.",True
Leader of Junta Confirms Myanmar Is Planning 2010 Elections.,False
Standoff Builds Over Afghan Cabinet.,False
Attacker in Afghanistan Was a Double Agent.,True
"In Yemen, U.S. Faces Leader Who Puts Family First.",True
"In Russia, a Bankrupt Town Keeps Humming.",False
"Oil Feud Reflects Growing Rift Between Russia and Belarus, Once Close Allies.",False
Iran Shielding Its Nuclear Efforts in Maze of Tunnels.,True
U.S. Saw a Path to Qaeda Chiefs Before Bombing.,True
"Fighting Trend, China Is Luring Scientists Home.",True
Suicide Bombing Puts a Rare Face on C.I.A.’s Work.,True
Move Made to Bar Iraqi From Ballot.,False
6 Cited in Honduran Leader’s Ouster.,False
China Turns Drug Rehab Into a Punishing Ordeal.,False
Change in Japan a Tough Task for Finance Minister.,False
Myanmar Is Reported to Sentence 2 to Death.,False
"Across Divide in Iraq, a Sunni Courts Shiites.",True
Chávez Devalues Currency Amid Oil Fall.,False
Video Links Taliban in Pakistan to C.I.A. Attack.,True
British Journalist and American Marine Die in Afghan Bomb Explosion.,False
Churches Attacked Amid Furor in Malaysia.,False
Yemen’s President Says Government Is Willing to Talk to Disarmed Qaeda Fighters.,False
Panel Ties Ally of Iran Leader to Protester Deaths.,False
Airlines Refuse to Transport Radical Cleric.,False
Train Line Across the Balkans Restitches a Region.,True
War’s Fury No Longer Pauses for Afghan Winter.,False
"Europe, in Grip of Low Temperatures, Faces Flaring Tempers and Disrupted Travel.",False
