prompt,prompt_len,target
George Washington,17,67.0
Douglas Adams,13,49.0
Abraham Lincoln,15,56.0
Wolfgang Amadeus Mozart,23,35.0
Ludwig van Beethoven,20,57.0
Jean-François Champollion,25,42.0
Paul Morand,11,88.0
Claude Monet,12,86.0
Diego Velázquez,15,61.0
El Greco,8,73.0
Elvis Presley,13,42.0
Galileo Galilei,15,78.0
Patricio Aylwin,15,98.0
Louis IX of France,18,56.0
Adolf Hitler,12,56.0
Blanche of Castile,18,64.0
Piet Kraak,10,63.0
Augusto Pinochet,16,91.0
Yanka Kupala,12,60.0
František Plánička,18,92.0
Linda Lovelace,14,53.0
Bob Marley,10,36.0
Carl Sagan,10,62.0
Salvador Allende,16,65.0
Denis Diderot,13,71.0
Georges Brassens,16,60.0
Philipp Ludwig von Seidel,25,75.0
Eduardo Frei Montalva,21,71.0
Arthur Rimbaud,14,37.0
"Ulrich Frédéric Woldemar, Comte de Lowendal",43,55.0
Charles Baudelaire,18,46.0
Stendhal,8,59.0
Émile Zola,10,62.0
Vladimir Vysotsky,17,42.0
Napoleon,8,52.0
Louis Pasteur,13,73.0
Victor Hugo,11,83.0
Giuseppe Garibaldi,18,75.0
Claude Bourgelat,16,67.0
Pierre Poivre,13,67.0
Jorge Alessandri,16,90.0
Carlos Ibáñez del Campo,23,83.0
Luís de Camões,14,56.0
Nicolaus Copernicus,19,70.0
Jean Moulin,11,44.0
Cleopatra,9,39.0
Friedrich Theodor Vischer,25,80.0
André-Marie Ampère,18,61.0
Alessandro Volta,16,82.0
Molière,7,51.0
William Shakespeare,19,52.0
Genghis Khan,12,65.0
Jean Racine,11,60.0
Pierre Corneille,16,78.0
Paul Verlaine,13,52.0
Leonardo da Vinci,17,67.0
Dario Fo,8,90.0
Stéphane Mallarmé,17,56.0
Gabriel Gonzáles Videla,23,82.0
Juan Antonio Rios,17,58.0
Mikhail Bulgakov,16,49.0
Andrei Rublev,13,68.0
Pedro Aguirre Cerda,19,62.0
Arturo Alessandri,17,82.0
François Villon,15,32.0
Andrei Tarkovsky,16,54.0
Joseph Stalin,13,74.0
Juan Luis Sanfuentes,20,72.0
Plato,5,80.0
Joseph Brodsky,14,56.0
Aristotle,9,62.0
Charlie Chaplin,15,88.0
Józef Piłsudski,15,68.0
J. R. R. Tolkien,16,81.0
Franz Kafka,11,41.0
Jorge Luis Borges,17,87.0
Socrates,8,71.0
J. Bernlef,10,75.0
Roald Amundsen,14,56.0
Harry Mulisch,13,83.0
Konstantin Melnikov,19,84.0
Isaac Newton,12,85.0
Albert Einstein,15,76.0
Pedro I of Brazil,17,36.0
John Bardeen,12,83.0
Miles Franklin,14,75.0
John Paul II,12,85.0
Fyodor Dostoyevsky,18,60.0
Andrei Sakharov,15,68.0
Mahatma Gandhi,14,79.0
France Prešeren,15,49.0
Charles Darwin,14,73.0
Carl Linnaeus,13,71.0
Ivan Regen,10,79.0
Italo Balbo,11,44.0
Alessandro Manzoni,18,88.0
Dante Alighieri,15,56.0
Jean-Philippe Rameau,20,81.0
Indira Gandhi,13,67.0
Hector Berlioz,14,66.0
Maurice Ravel,13,62.0
Jean-Baptiste Lully,19,55.0
John Lennon,11,40.0
Hubert Salentin,15,88.0
Carlo Azeglio Ciampi,20,96.0
Oscar Luigi Scalfaro,20,94.0
Francesco Cossiga,17,82.0
Sandro Pertini,14,94.0
Giovanni Leone,14,93.0
Giuseppe Saragat,16,90.0
Antonio Segni,13,81.0
Giovanni Gronchi,16,91.0
Luigi Einaudi,13,87.0
Enrico de Nicola,16,82.0
Kofi Annan,10,80.0
Boutros Boutros-Ghali,21,94.0
Kurt Waldheim,13,89.0
Dag Hammarskjöld,16,56.0
Frédéric Chopin,15,39.0
Trygve Lie,10,72.0
Gladwyn Jebb,12,96.0
Leonard Cohen,13,82.0
Blaise Pascal,13,39.0
Ramón Barros Luco,17,84.0
Pedro Montt,11,61.0
Germán Riesco,13,62.0
Saddam Hussein,14,69.0
Osama bin Laden,15,54.0
Aníbal Zañartu,14,55.0
Federico Errázuriz Echaurren,28,51.0
Jorge Montt,11,77.0
José Manuel Balmaceda,21,51.0
Domingo Santa María,19,64.0
Aníbal Pinto,12,59.0
Friedrich Hayek,15,93.0
Federico Errázuriz Zañartu,26,52.0
José Joaquín Pérez,18,88.0
Manuel Montt,12,71.0
Manuel Bulnes,13,67.0
José Joaquín Prieto,19,68.0
Manuel Blanco Encalada,22,86.0
Ramón Freire,12,64.0
Francisco Antonio Pinto,23,73.0
Johann Sebastian Bach,21,65.0
Antonio Vivaldi,15,63.0
Dave Arneson,12,62.0
Vladimir Lenin,14,54.0
Niccolò Machiavelli,19,58.0
Petrarch,8,70.0
Giovanni Boccaccio,18,62.0
Luigi Pirandello,16,69.0
Ferdinand Marcos,16,72.0
M. C. Escher,12,74.0
Corazon Aquino,14,76.0
Robert Brasillach,17,36.0
Ferdinand Magellan,18,41.0
José Rizal,10,35.0
Manuel L. Quezon,16,66.0
Richard Wagner,14,70.0
Robert Louis Stevenson,22,44.0
Janis Joplin,12,27.0
Tony Garnier,12,79.0
Georg Simon Ohm,15,65.0
Luigi Galvani,13,61.0
Neil Armstrong,14,82.0
Charles Lindbergh,17,72.0
Sigfrid Edström,15,94.0
"David Cecil, 6th Marquess of Exeter",35,76.0
Édith Piaf,10,48.0
Adriaan Paulen,14,83.0
Primo Nebiolo,13,76.0
Françoise Sagan,15,69.0
Jacques Brel,12,49.0
Serge Gainsbourg,16,63.0
Ella Fitzgerald,15,79.0
Brownie Mary,12,77.0
Louis Armstrong,15,71.0
Charles Aznavour,16,94.0
Jan I Carondelet,16,74.0
Claude I Carondelet,19,51.0
Jan II Carondelet,17,75.0
Ferry Carondelet,16,55.0
Daniel Balavoine,16,34.0
Barbara,7,67.0
Paul Otlet,10,76.0
Stanley Kubrick,15,71.0
Cesare Pavese,13,42.0
François Mitterrand,19,80.0
Giuseppe Farina,15,60.0
Charles de Gaulle,17,80.0
Juan Manuel Fangio,18,84.0
Alberto Ascari,14,37.0
Mike Hawthorn,13,30.0
Jacques Chirac,14,87.0
Hans Schmidt,12,69.0
Valéry Giscard d'Estaing,24,94.0
Jack Brabham,12,88.0
Georges Pompidou,16,63.0
Coluche,7,42.0
Pierre Desproges,16,49.0
Chet Baker,10,59.0
Totò,4,69.0
Konrad Adenauer,15,91.0
Ludwig Erhard,13,80.0
Kurt Georg Kiesinger,20,84.0
Willy Brandt,12,79.0
Helmut Schmidt,14,97.0
Helmut Kohl,11,87.0
Johannes Rau,12,75.0
Roman Herzog,12,83.0
Isaac Brock,11,43.0
Richard von Weizsäcker,22,95.0
Karl Carstens,13,78.0
Walter Scheel,13,97.0
Gustav Heinemann,16,77.0
Heinrich Lübke,14,78.0
Theodor Heuss,13,79.0
Manfred Gerlach,15,83.0
Pius XII,8,82.0
Erich Honecker,14,82.0
Willi Stoph,11,85.0
Walter Ulbricht,15,80.0
George Harrison,15,58.0
Friedrich Ebert,15,54.0
John Franklin,13,61.0
Paul von Hindenburg,19,87.0
Wilhelm II,10,82.0
Louis de Funès,14,69.0
Bourvil,7,53.0
Jaroslav Hašek,14,40.0
Lech Kaczyński,14,61.0
Daniel Morgan,13,66.0
Michael Jackson,15,51.0
Antoine de Saint-Exupéry,24,44.0
"Sir John Barrow, 1st Baronet",28,84.0
Amy Johnson,11,38.0
Willoughby Newton,17,72.0
Charlemagne,11,66.0
Charles Maurras,15,84.0
Livia Ana Tătaru,16,91.0
Francis van Bossuit,19,57.0
Patrick Ricard,14,67.0
Francis Coventry,16,29.0
Phil Hill,9,81.0
Graham Hill,11,46.0
Jim Clark,9,32.0
John Surtees,12,83.0
Conrad Wahn,11,76.0
Denny Hulme,11,56.0
Friedrich Wilhelm Grund,23,83.0
William Terry,13,64.0
Jochen Rindt,12,28.0
James K. Gibson,15,67.0
Allen Sheppard,14,83.0
Elisha E. Meredith,18,52.0
Henry P. Alexander,18,66.0
Hubert Clifford,15,55.0
David Cairns,12,45.0
John Gregg,10,36.0
Ernst Tiburzy,13,93.0
Charles Martel,14,53.0
Simon Lohet,11,61.0
Rufus R. Jones,14,60.0
George Orwell,13,47.0
Ptolemy IX Lathyros,19,62.0
Ptolemy X Alexander I,21,52.0
Ptolemy VIII Physcon,20,66.0
Amelia Earhart,14,40.0
Antiochus IV Epiphanes,22,51.0
Seleucus IV Philopator,22,42.0
Antiochus III the Great,23,54.0
Seleucus III Ceraunus,21,20.0
Seleucus II Callinicus,22,40.0
Franciszek Karpiński,20,84.0
Aleksandr Kanaki,16,83.0
Laurent Dauthuille,18,47.0
George Sand,11,72.0
Etienne-Barthélémy Garnier,26,90.0
Piet Roozenburg,15,79.0
Grace Kelly,11,53.0
Jacqueline Cochran,18,74.0
Paul von Rennenkampf,20,64.0
George Zorab,12,92.0
Duke Ellington,14,75.0
Woody Guthrie,13,55.0
Louis Aragon,12,85.0
Elsa Triolet,12,74.0
Patrice O'Neal,14,42.0
Adam de la Halle,16,48.0
James Coburn,12,74.0
Rodolphe Töpffer,16,47.0
Adémar de Chabannes,19,45.0
Guibert of Nogent,17,69.0
Ante Bilobrk,12,24.0
Peter Abelard,13,63.0
Chrétien de Troyes,18,46.0
Alain de Lille,14,85.0
Albert of Aix,13,60.0
Alberich of Reims,17,56.0
Andreas Capellanus,18,70.0
Arnaut Daniel,13,60.0
Carlos Pellicer,15,78.0
Emily Dickinson,15,56.0
Pius VIII,9,69.0
Benedict XV,11,68.0
Thomas of Metsoph,17,68.0
Federico Gamboa,15,75.0
Beatritz de Dia,15,85.0
Bertran de Born,15,75.0
Bernard Katz,12,92.0
Jonathan Winters,16,88.0
Sean Connery,12,90.0
Anne Frank,10,16.0
Rajiv Gandhi,12,47.0
Confucius,9,73.0
Sarah Bernhardt,15,79.0
Marlene Dietrich,16,91.0
Marilyn Monroe,14,36.0
Francesco Filelfo,17,83.0
Mohamed Morsi,13,68.0
Mary Stewart,12,35.0
Paul Otto,9,65.0
Joan Lorring,12,88.0
Margaret Wycherly,17,75.0
Jean-Jacques Kieffer,20,68.0
Claude Debussy,14,56.0
Manfred von Richthofen,22,26.0
Charles II de Croÿ,18,29.0
Le Corbusier,12,78.0
"Elizabeth Smith-Stanley, Countess of Derby",42,44.0
John Hamilton,13,67.0
Manoel da Costa Ataíde,22,68.0
Jenő Ábel,9,31.0
Yves Mariot,11,52.0
Ernst Mielck,12,22.0
Roy Budd,8,46.0
Karl Bryullov,13,53.0
Anthony Sweijs,14,85.0
András Fáy,10,78.0
Marie-Jean-Léon d'Hervey de Saint Denys,39,70.0
Nicholas Prokopievich Miholaps,30,93.0
Lady Ann Cunningham,19,66.0
Rosa Valetti,12,59.0
Marcel Doret,12,59.0
Chris Hooijkaas,15,65.0
Marcus Ravenswaaij,18,57.0
"William Hamilton, Duke of Hamilton",34,60.0
Francis Marrash,15,37.0
"Isabella I, Queen of Armenia",28,36.0
Birger Kildal,13,64.0
Otto Richard Kierulf,20,72.0
Herman Melville,15,72.0
Emperor Taizu of Liao,21,54.0
Emperor Taizong of Liao,23,45.0
Emperor Shizong of Liao,23,32.0
Emperor Muzong of Liao,22,38.0
Emperor Jingzong of Liao,24,34.0
Emperor Shengzong of Liao,25,59.0
Emperor Xingzong of Liao,24,39.0
Emperor Daozong of Liao,23,69.0
Emperor Tianzuo of Liao,23,53.0
Elder Paisios of Mount Athos,28,70.0
Emperor Taizu of Jin,20,55.0
Emperor Modi of Jin,19,33.0
