prompt,prompt_len,target
C.I.A. Takes On Bigger and Riskier Role on Front Lines.,55,False
Bomb Takes Heavy Toll at Pakistan Sports Event.,47,False
Standoff in Iran Deepens With New Show of Force.,48,True
Different Taliban Groups Claim Role in Afghanistan Bombing.,59,False
Fragile Calm Holds in Darfur After Years of Death.,50,False
"In Russia, a New Year and a New Price for Vodka.",48,False
Many Karzai Afghan Cabinet Choices Are Rejected.,48,False
Cartoonist in Denmark Calls Attack ‘Really Close’.,50,False
U.S. Sees an Opportunity to Press Iran on Nuclear Fuel.,55,True
Yemen’s Chaos Aids the Evolution of a Qaeda Cell.,49,False
"For Shanghai Fair, Famous Fund-Raiser Delivers.",47,False
"Threats Led to Embassy Closings in Yemen, Officials Say.",56,False
Iraq Says Deal Is Near on the Last of 5 Hostages.,49,False
Americans’ Role Seen in Uganda Anti-Gay Push.,45,False
Hazaras Hustle to Head of Class in Afghanistan.,47,False
Iranian Filmmakers Keep Focus on the Turmoil.,45,True
"4 Afghan War Veterans Look Back, and Ahead.",43,False
Leader of Junta Confirms Myanmar Is Planning 2010 Elections.,60,False
Standoff Builds Over Afghan Cabinet.,36,False
Attacker in Afghanistan Was a Double Agent.,43,False
"In Yemen, U.S. Faces Leader Who Puts Family First.",50,False
"In Russia, a Bankrupt Town Keeps Humming.",41,False
"Oil Feud Reflects Growing Rift Between Russia and Belarus, Once Close Allies.",77,False
Iran Shielding Its Nuclear Efforts in Maze of Tunnels.,54,True
U.S. Saw a Path to Qaeda Chiefs Before Bombing.,47,False
"Fighting Trend, China Is Luring Scientists Home.",48,False
Suicide Bombing Puts a Rare Face on C.I.A.’s Work.,50,False
Move Made to Bar Iraqi From Ballot.,35,False
6 Cited in Honduran Leader’s Ouster.,36,False
China Turns Drug Rehab Into a Punishing Ordeal.,47,False
Change in Japan a Tough Task for Finance Minister.,50,False
Myanmar Is Reported to Sentence 2 to Death.,43,False
"Across Divide in Iraq, a Sunni Courts Shiites.",46,False
Chávez Devalues Currency Amid Oil Fall.,39,False
Video Links Taliban in Pakistan to C.I.A. Attack.,49,False
British Journalist and American Marine Die in Afghan Bomb Explosion.,68,False
Churches Attacked Amid Furor in Malaysia.,41,False
Yemen’s President Says Government Is Willing to Talk to Disarmed Qaeda Fighters.,80,False
Panel Ties Ally of Iran Leader to Protester Deaths.,51,True
Airlines Refuse to Transport Radical Cleric.,44,False
Train Line Across the Balkans Restitches a Region.,50,False
War’s Fury No Longer Pauses for Afghan Winter.,46,False
"Europe, in Grip of Low Temperatures, Faces Flaring Tempers and Disrupted Travel.",80,False
New Film May Sway Brazil’s Vote on President.,45,False
"As China Rises, Fears Grow on Whether Boom Can Endure.",54,False
5 Convicted in Britain Over Protest at Parade.,46,False
Georgia: Leaders of a Mutiny Receive Prison Sentences.,54,False
Russian Dissident’s Passion Endures Despite Tests.,50,False
Fierce Quake Devastates Haitian Capital.,40,False
"Google, Citing Attack, Threatens to Exit China.",47,False
Haiti Lies in Ruins; Grim Search for Untold Dead.,49,False
Court Is Told Mayor Aided in Massacre of Filipinos.,51,False
"Israel and Turkey Patch Up Latest Rift, Over Diplomatic Slight.",63,False
U.S. Companies Join Race on Iraqi Oil Bonanza.,46,False
Agony Sets In as Medics Focus on the Survivors.,47,False
Tensions Mount in Devastated Capital as Nations Step Up Aid Pledges to Haiti.,77,False
Israel Raids Polygamist Compound.,33,False
Toppled in Ukraine but Nearing a Comeback.,42,False
Iraqi Commission Bars Nearly 500 Candidates.,44,False
"After Google’s Stand on China, U.S. Treads Lightly.",51,False
Patience Wears Thin as Desperation Grows.,41,False
Chinese Lawyer Declared ‘Missing’ After Arrest.,47,False
"Senior Qaeda Figures Killed in Attack, Yemen Says.",50,False
Envoys to Meet on Possible Sanctions Over Iran Nuclear Program.,63,True
Political Turmoil Follows Barring of Hundreds From Iraq Ballot.,63,False
"For the Trapped, Rescue Is but the First Hurdle.",48,False
Officials Strain to Distribute Aid to Haiti as Violence Rises.,62,False
Lonely Trek to Radicalism for Terror Suspect.,45,False
Looting Flares Where Authority Breaks Down.,43,False
Karzai Closing In on Taliban Reconciliation Plan.,49,False
Hussein Aide Again Given a Sentence of Death.,45,False
"Amid Rubble, Seeking a Refuge in Faith.",39,False
Rescues Beat Dimming Odds in Haiti but Fall Short of Need.,58,False
Right-Wing Businessman Wins Chile’s Presidency.,47,False
Kabul Attack Shows Resilience of Afghan Militants.,50,False
Man Who Shot Pope in 1981 Is Freed.,35,False
"After Hearing in Pakistan, 5 Americans Allege Torture.",54,False
"Taliban Leaders Unlikely to Accept Offer, Gates Says.",53,False
"At Yemen College, Scholarship and Jihadist Ideas.",49,False
The Rise and Fall of a Sunni in Baghdad.,40,False
"As Haitians Flee, the Dead Go Uncounted.",40,False
China Curtails Run of ‘Avatar’ as It Fills Theaters.,52,False
"U.S. Troops Patrol Haiti, Filling a Void.",41,False
Japan Stalls as Leaders Are Jolted by Old Guard.,48,False
"After Attack, Afghans Question Motives or See Conspiracies.",59,False
China to Scan Text Messages to Spot ‘Unhealthy Content’.,56,False
Nightmare in Haiti: Untreated Illness and Injury.,49,False
Taliban Overhaul Image to Win Allies.,37,False
Aid Groups Focus on Haiti’s Homeless.,37,False
Loyalties of Those Killed in Afghan Raid Remain Unclear.,56,False
Diplomatic Hand Extended: Furor May Erupt if Shaken.,52,False
C.I.A. Deaths Prompt Surge in U.S. Drone Strikes.,49,False
U.S. Delays Setting Up More Anti-Taliban Militias.,50,False
Study Points to Disease as Main Killer in Darfur.,49,False
"Haiti’s Icon of Power, Now Palace for Ghosts.",45,False
China Rebuffs Clinton on Internet Warning.,42,False
"Foot on Bomb, Marine Defies a Taliban Trap.",43,False
Two U.S. Soldiers Are Among 17 Afghan Deaths.,45,False
Cultural Riches Turn to Rubble in Haiti Quake.,46,False
Mayor-Elect in Okinawan City Opposes U.S. Base.,47,False
"As Haiti’s Focus Turns to Shelter, Families Press Search for Missing.",69,False
Netanyahu Says Some Settlements to Stay in Israel.,50,False
Christmas Bombing Try Is Hailed by bin Laden.,45,False
General Puts Up a Fight in Sri Lanka’s Election.,48,False
"On Street Tracing Haiti’s Pain, Survival Goes On.",49,False
Ethiopian Airliner Crashes Near Beirut.,39,False
More Tainted Dairy Products Are Found in Chinese Stores.,56,False
Lawyer Says Hong Kong Violated Chinese Dissident’s Rights.,58,False
Stitching the Narrative of a Revolution.,40,False
"Fighting Starvation, Haitians Share Portions.",45,False
Clock Ticks for Nepal to Settle Its Future.,43,False
"In Digital Combat, U.S. Finds No Easy Deterrent.",48,False
U.S. Envoy’s Cables Show Worries on Afghan Plans.,49,False
Haiti’s Children Adrift in World of Chaos.,42,False
"Afghan Tribe, Vowing to Fight Taliban, to Get U.S. Aid in Return.",65,False
War Plan for Karzai: Reach Out to Taliban.,42,False
"Battling an Image and Reality, Berlusconi Takes on the Mafia (Real and Fictional).",82,False
Israel Signals Tougher Line on West Bank Protests.,50,False
"Citing 9/11, Blair Defends Legacy at Iraq Inquiry.",50,False
Clinton Warns China on Iran Sanctions.,38,True
Marines Invest in Local Afghan Projects.,40,False
U.S. Approval of Taiwan Arms Sales Angers China.,48,False
China Insists That Its Steps on Climate Be Voluntary.,53,False
U.S. Speeding Up Missile Defenses in Persian Gulf.,50,False
U.S. to Resume Airlift of Injured Haitians.,43,False
Pakistani Taliban Leader Is Reported Dead.,42,False
U.S. Arms for Taiwan Send Beijing a Message.,44,False
"In Egypt, Religious Clashes Are Off the Record.",47,False
Men Defend Historic Mandela Site ... From Rabbits.,50,False
"In Quake’s Wake, Haiti Faces Leadership Void.",45,False
"Ration Cards in Hand, Thousands Welcome Aid.",44,False
U.S. Examines Whether Blackwater Tried Bribery.,47,False
Scores Killed in Attack on Shiite Pilgrims in Iraq.,51,False
"Case Stokes Haiti’s Fear for Children, and Itself.",50,False
Paternity Claim Challenges Zuma’s Stance on AIDS.,49,False
"As Marines Move In, Taliban Fight a Shadowy War.",48,False
Israel Rebukes 2 for U.N. Gaza Compound Shelling.,49,False
Officials Visit Russian City Amid Protests.,43,False
"After Massacre, Guinea Sees Hope of Lifted Chains.",50,False
China’s Defiance Stirs Fears for Missing Dissident.,51,False
"With Raw Recruits, Afghan Police Buildup Falters.",49,False
Soldier Deaths Draw Focus to U.S. in Pakistan.,46,False
Economic Measures by North Korea Prompt New Hardships and Unrest.,65,False
"Nepal Waits as 2 Armies, Former Foes, Become One.",49,False
"For Scots, a Scourge Unleashed by a Bottle.",43,False
Research Group’s Report Urges Radical Changes in Russia.,56,False
Haiti Charges Americans With Child Abduction.,45,False
Romanians Accept Plan for Basing of Missiles.,45,False
"Even Where Pakistani Law Exists, Taliban Find a Porous Border.",62,False
"Rebuffing Scholars, Germany Vows to Keep Hitler Out of Print.",61,False
Ukraine’s Premier Stumps for Her Turn at the Top.,49,False
Russia Cool to U.S. Plan for Missiles in Romania.,49,False
Haiti Hospital’s Fight Against TB Falls to One Man.,51,False
Euro Debt Crisis Is Political Test for Bloc.,44,False
Russia: Putin Warns His Party on ‘Promises’.,44,False
Russia: 5 Soldiers Are Killed in Chechnya.,42,False
"Bruised Maid Dies at 12, and Pakistan Seethes.",46,False
"With Taliban Leader Reported Dead, New Pakistani Figure Emerges.",64,False
Bleak Portrait of Haiti Orphanages Raises Fears.,48,False
Iran’s President Moves Ahead on Uranium Processing.,51,True
Americans Held in Haiti Are Divided Over Leader.,48,False
Cry for Self-Rule by Tamils Is Muffled by Reality.,50,False
"On Afghan Road, Scenes of Beauty and Death.",43,False
"For Kremlin, Ukraine Election Cuts Two Ways.",44,False
Sri Lanka Arrests Defeated Candidate.,37,False
Paperwork Hinders Airlifts of Ill Haitian Children.,51,False
"In Northern Iraq, a Vote Seems Likely to Split.",47,False
Arrests by Iran Are a Bid to Quell Wide Protests.,49,True
Nigerian Parliament Names Acting President.,43,False
Avalanches Kill Dozens on Mountain Highway in Afghanistan.,58,False
Pakistan Is Said to Pursue Role in U.S.-Afghan Talks.,53,False
Philosopher Left to Muse on Ridicule Over a Hoax.,49,False
China Indicts Rio Tinto Staff on Bribery Charges.,49,False
Leader Faulted on Using Army in Iraqi Politics.,47,False
"Officials See Slander in Uzbek Photos, but Artists See Censorship.",66,False
"Germany, Forced to Buoy Greece, Rues Euro Shift.",48,False
Obama Takes Several Gambles in Bid to Defuse Nuclear Standoff With Iran.,72,True
Greek Civil Servants Strike Over Austerity.,43,False
Iran Boasts of Capacity to Make Bomb Fuel.,42,True
Adviser to Detained Americans in Haiti Is Investigated.,55,False
"Author, 17, Says It’s ‘Mixing,’ Not Plagiarism.",47,False
China Alarmed by Security Threat From Internet.,47,False
Bollywood and Politics Collide in a Red-Carpet Standoff.,56,False
Kenyan Police Disperse Gay Wedding.,35,False
